Termes,Définition
"Presentación General 1","Hola, hoy voy a presentar la serie *Juego de Tronos*, en inglés *Game of Thrones*."
"Presentación General 2","Es una serie muy famosa que se estrenó el 17 de abril de 2011 en el canal HBO y terminó en 2019."
"Presentación General 3","Tiene 8 temporadas y 73 episodios."
"Presentación General 4","La serie fue creada por David Benioff y D. B. Weiss y está basada en los libros *Canción de hielo y fuego* de George R. R. Martin."
"Presentación General 5","Los actores más conocidos son Emilia Clarke, que interpreta a Daenerys Targaryen; Kit Harington, que interpreta a Jon Snow; y Peter Dinklage, que interpreta a Tyrion Lannister."
"Resumen de la serie 1","*Juego de Tronos* cuenta la historia de varias familias nobles que luchan por el poder y por el Trono de Hierro en un mundo llamado Poniente."
"Resumen de la serie 2","Hay guerras, traiciones y alianzas entre los personajes."
"Resumen de la serie 3","En el norte, aparece una amenaza sobrenatural: los Caminantes Blancos."
"Resumen de la serie 4","En el este, Daenerys Targaryen intenta recuperar el trono con la ayuda de sus dragones."
"Personaje importante 1","Ahora voy a hablar de Jon Snow."
"Personaje importante 2","Al principio, es el hijo bastardo de Eddard Stark y vive en el norte del reino."
"Personaje importante 3","Es valiente y justo, y decide unirse a la Guardia de la Noche para proteger el reino."
"Personaje importante 4","Durante la serie, descubre secretos sobre sus origenes y se convierte en un líder muy respetado."
"Ficción o realidad 1","Esta serie es principalmente ficción, porque hay dragones, magia y un mundo imaginario."
"Ficción o realidad 2","Por eso, aunque sea ficción, la serie muestra también la realidad de nuestra sociedad porque los personajes son humanos, con errores, emociones y contradicciones, como en la vida real."
"Ficción o realidad 3","Y también refleja aspectos de nuestra sociedad como : la ambición, la política, la traición y cómo la gente lucha por el poder."
"Recomendación 1","Yo recomiendo esta serie porque es muy emocionante y siempre tiene momentos sorprendentes."
"Recomendación 2","Los personajes son interesantes y complejos, y es fácil sentir empatía por ellos."
"Recomendación 3","Además, los paisajes, los escenarios y los efectos especiales son impresionantes."
"Recomendación 4","La serie también hace pensar sobre las decisiones y acciones de los personajes, sin ser demasiado complicada."
"Recomendación 5","Por eso, creo que es una serie que vale mucho la pena ver."
